ID,Vocab,ItemID,L2Frequency,Alphabet,Syllables,L1Frequency,familiarity,mora,WordLength,Condition,Word,Test,Answer
11,3900,porcupine,479,9,3,10,4.906,5,5,L1L2,B,L1 Production,0
11,3900,quail,1571,5,1,68,5.719,3,3,L1L2,B,L1 Production,0
11,3900,ravine,1296,6,2,473,5.219,4,4,L1L2,B,L1 Production,0
11,3900,rectum ,327,6,2,319,5,4,6,L1L2,B,L1 Production,0
11,3900,scowl,1020,5,1,36,5.406,6,6,L1L2,B,L1 Production,0
11,3900,sentry,628,6,2,654,5.906,3,5,L1L2,B,L1 Production,0
11,3900,toupee,200,6,2,440,6.375,3,3,L1L2,B,L1 Production,1
11,3900,weasel,876,6,2,170,5.75,3,3,L1L2,B,L1 Production,0
11,3900,azalea,450,6,3,230,5.812,3,3,L2L1,A,L1 Production,1
11,3900,berth ,1851,5,1,245,5.531,4,4,L2L1,A,L1 Production,1
11,3900,billow,231,6,2,362,5.156,4,4,L2L1,A,L1 Production,0
11,3900,bluff,2695,5,1,168,5.281,4,4,L2L1,A,L1 Production,0
11,3900,camphor,151,7,2,162,3.938,4,4,L2L1,A,L1 Production,1
11,3900,cistern,281,7,3,1206,5.406,4,4,L2L1,A,L1 Production,1
11,3900,citadel,1310,7,3,276,4.156,3,3,L2L1,A,L1 Production,1
11,3900,fracas,257,6,2,2090,5.656,3,3,L2L1,A,L1 Production,1
11,3900,fuselage,800,8,3,843,5.312,4,4,L2L1,A,L1 Production,0
11,3900,insurgent,1485,9,3,321,4.219,3,3,L2L1,A,L1 Production,1
11,3900,loach,51,5,1,274,6,3,4,L2L1,A,L1 Production,1
11,3900,otter,943,5,2,177,5.438,4,4,L2L1,A,L1 Production,1
11,3900,pail,809,4,1,639,6.219,3,3,L2L1,A,L1 Production,1
11,3900,plateau,2598,7,2,1204,5.875,4,4,L2L1,A,L1 Production,1
11,3900,plumage ,469,7,2,1233,5.969,2,2,L2L1,A,L1 Production,1
11,3900,rudder,700,6,2,259,4.375,2,2,L2L1,A,L1 Production,1
11,3900,shoal,361,5,1,246,4.812,3,3,L2L1,A,L1 Production,1
11,3900,strait ,2184,6,1,912,5.469,4,5,L2L1,A,L1 Production,1
11,3900,tuberculosis,2884,12,5,1745,5.531,4,4,L2L1,A,L1 Production,1
11,3900,tympanum,59,8,3,189,5.312,3,3,L2L1,A,L1 Production,1
22,6970,alcove ,932,6,2,178,5.531,4,4,L2L1,B,L1 Production,0
22,6970,diaphragm ,872,9,3,25,4.406,6,6,L2L1,B,L1 Production,1
22,6970,estuary,738,7,2,863,5.344,3,3,L2L1,B,L1 Production,0
22,6970,kiln,615,4,1,5109,4.812,1,1,L2L1,B,L1 Production,1
22,6970,levee,1159,5,2,1428,5.375,4,4,L2L1,B,L1 Production,0
22,6970,mane,1278,4,1,33,5.406,4,4,L2L1,B,L1 Production,0
22,6970,mirth,455,5,1,426,5.594,3,3,L2L1,B,L1 Production,1
22,6970,ore,3930,3,1,358,4.844,4,4,L2L1,B,L1 Production,1
22,6970,pall,670,4,1,133,3.719,3,3,L2L1,B,L1 Production,1
22,6970,parable,1063,7,3,189,5,2,2,L2L1,B,L1 Production,1
22,6970,potassium,1517,9,3,177,5.031,4,4,L2L1,B,L1 Production,1
22,6970,ravine,1296,6,2,473,5.219,4,4,L2L1,B,L1 Production,0
22,6970,scowl,1020,5,1,36,5.406,6,6,L2L1,B,L1 Production,1
22,6970,sentry,628,6,2,654,5.906,3,5,L2L1,B,L1 Production,0
22,6970,toupee,200,6,2,440,6.375,3,3,L2L1,B,L1 Production,1
22,6970,berth ,1851,5,1,245,5.531,4,4,L1L2,A,L1 Production,1
22,6970,billow,231,6,2,362,5.156,4,4,L1L2,A,L1 Production,1
22,6970,bluff,2695,5,1,168,5.281,4,4,L1L2,A,L1 Production,1
22,6970,camphor,151,7,2,162,3.938,4,4,L1L2,A,L1 Production,1
22,6970,cistern,281,7,3,1206,5.406,4,4,L1L2,A,L1 Production,0
22,6970,citadel,1310,7,3,276,4.156,3,3,L1L2,A,L1 Production,0
22,6970,fracas,257,6,2,2090,5.656,3,3,L1L2,A,L1 Production,1
22,6970,fuselage,800,8,3,843,5.312,4,4,L1L2,A,L1 Production,0
22,6970,insurgent,1485,9,3,321,4.219,3,3,L1L2,A,L1 Production,1
22,6970,pail,809,4,1,639,6.219,3,3,L1L2,A,L1 Production,1
22,6970,plateau,2598,7,2,1204,5.875,4,4,L1L2,A,L1 Production,1
22,6970,plumage ,469,7,2,1233,5.969,2,2,L1L2,A,L1 Production,0
22,6970,rudder,700,6,2,259,4.375,2,2,L1L2,A,L1 Production,1
22,6970,shoal,361,5,1,246,4.812,3,3,L1L2,A,L1 Production,1
22,6970,strait ,2184,6,1,912,5.469,4,5,L1L2,A,L1 Production,1
22,6970,tuberculosis,2884,12,5,1745,5.531,4,4,L1L2,A,L1 Production,0
22,6970,tympanum,59,8,3,189,5.312,3,3,L1L2,A,L1 Production,1
1,4771,azalea,450,6,3,230,5.812,3,3,L1L2,A,L1 Production,1
1,4771,berth ,1851,5,1,245,5.531,4,4,L1L2,A,L1 Production,0
1,4771,billow,231,6,2,362,5.156,4,4,L1L2,A,L1 Production,0
1,4771,bluff,2695,5,1,168,5.281,4,4,L1L2,A,L1 Production,1
1,4771,camphor,151,7,2,162,3.938,4,4,L1L2,A,L1 Production,0
1,4771,cistern,281,7,3,1206,5.406,4,4,L1L2,A,L1 Production,0
1,4771,citadel,1310,7,3,276,4.156,3,3,L1L2,A,L1 Production,0
1,4771,fracas,257,6,2,2090,5.656,3,3,L1L2,A,L1 Production,0
1,4771,fuselage,800,8,3,843,5.312,4,4,L1L2,A,L1 Production,0
1,4771,insurgent,1485,9,3,321,4.219,3,3,L1L2,A,L1 Production,0
1,4771,loach,51,5,1,274,6,3,4,L1L2,A,L1 Production,0
1,4771,otter,943,5,2,177,5.438,4,4,L1L2,A,L1 Production,0
1,4771,pail,809,4,1,639,6.219,3,3,L1L2,A,L1 Production,0
1,4771,plateau,2598,7,2,1204,5.875,4,4,L1L2,A,L1 Production,0
1,4771,plumage ,469,7,2,1233,5.969,2,2,L1L2,A,L1 Production,0
1,4771,rudder,700,6,2,259,4.375,2,2,L1L2,A,L1 Production,1
1,4771,shoal,361,5,1,246,4.812,3,3,L1L2,A,L1 Production,1
1,4771,strait ,2184,6,1,912,5.469,4,5,L1L2,A,L1 Production,0
1,4771,tuberculosis,2884,12,5,1745,5.531,4,4,L1L2,A,L1 Production,0
1,4771,tympanum,59,8,3,189,5.312,3,3,L1L2,A,L1 Production,1
1,4771,alcove ,932,6,2,178,5.531,4,4,L2L1,B,L1 Production,1
1,4771,badger,818,6,2,6,3.938,4,4,L2L1,B,L1 Production,0
1,4771,diaphragm ,872,9,3,25,4.406,6,6,L2L1,B,L1 Production,1
1,4771,estuary,738,7,2,863,5.344,3,3,L2L1,B,L1 Production,0
1,4771,kiln,615,4,1,5109,4.812,1,1,L2L1,B,L1 Production,0
1,4771,levee,1159,5,2,1428,5.375,4,4,L2L1,B,L1 Production,0
1,4771,mane,1278,4,1,33,5.406,4,4,L2L1,B,L1 Production,1
1,4771,mirth,455,5,1,426,5.594,3,3,L2L1,B,L1 Production,1
1,4771,ore,3930,3,1,358,4.844,4,4,L2L1,B,L1 Production,0
1,4771,pall,670,4,1,133,3.719,3,3,L2L1,B,L1 Production,0
1,4771,parable,1063,7,3,189,5,2,2,L2L1,B,L1 Production,0
1,4771,porcupine,479,9,3,10,4.906,5,5,L2L1,B,L1 Production,0
1,4771,potassium,1517,9,3,177,5.031,4,4,L2L1,B,L1 Production,1
1,4771,quail,1571,5,1,68,5.719,3,3,L2L1,B,L1 Production,0
1,4771,ravine,1296,6,2,473,5.219,4,4,L2L1,B,L1 Production,0
1,4771,rectum ,327,6,2,319,5,4,6,L2L1,B,L1 Production,0
1,4771,scowl,1020,5,1,36,5.406,6,6,L2L1,B,L1 Production,1
1,4771,sentry,628,6,2,654,5.906,3,5,L2L1,B,L1 Production,0
1,4771,toupee,200,6,2,440,6.375,3,3,L2L1,B,L1 Production,0
1,4771,weasel,876,6,2,170,5.75,3,3,L2L1,B,L1 Production,0
17,4850,azalea,450,6,3,230,5.812,3,3,L2L1,A,L1 Production,0
17,4850,berth ,1851,5,1,245,5.531,4,4,L2L1,A,L1 Production,0
17,4850,billow,231,6,2,362,5.156,4,4,L2L1,A,L1 Production,1
17,4850,bluff,2695,5,1,168,5.281,4,4,L2L1,A,L1 Production,0
17,4850,camphor,151,7,2,162,3.938,4,4,L2L1,A,L1 Production,0
17,4850,cistern,281,7,3,1206,5.406,4,4,L2L1,A,L1 Production,0
17,4850,citadel,1310,7,3,276,4.156,3,3,L2L1,A,L1 Production,0
17,4850,fracas,257,6,2,2090,5.656,3,3,L2L1,A,L1 Production,1
17,4850,fuselage,800,8,3,843,5.312,4,4,L2L1,A,L1 Production,0
17,4850,insurgent,1485,9,3,321,4.219,3,3,L2L1,A,L1 Production,0
17,4850,loach,51,5,1,274,6,3,4,L2L1,A,L1 Production,0
17,4850,otter,943,5,2,177,5.438,4,4,L2L1,A,L1 Production,1
17,4850,pail,809,4,1,639,6.219,3,3,L2L1,A,L1 Production,1
17,4850,plateau,2598,7,2,1204,5.875,4,4,L2L1,A,L1 Production,0
17,4850,plumage ,469,7,2,1233,5.969,2,2,L2L1,A,L1 Production,0
17,4850,rudder,700,6,2,259,4.375,2,2,L2L1,A,L1 Production,1
17,4850,shoal,361,5,1,246,4.812,3,3,L2L1,A,L1 Production,0
17,4850,strait ,2184,6,1,912,5.469,4,5,L2L1,A,L1 Production,0
17,4850,tuberculosis,2884,12,5,1745,5.531,4,4,L2L1,A,L1 Production,1
17,4850,tympanum,59,8,3,189,5.312,3,3,L2L1,A,L1 Production,1
17,4850,alcove ,932,6,2,178,5.531,4,4,L1L2,B,L1 Production,1
17,4850,badger,818,6,2,6,3.938,4,4,L1L2,B,L1 Production,0
17,4850,diaphragm ,872,9,3,25,4.406,6,6,L1L2,B,L1 Production,0
17,4850,estuary,738,7,2,863,5.344,3,3,L1L2,B,L1 Production,0
17,4850,kiln,615,4,1,5109,4.812,1,1,L1L2,B,L1 Production,0
17,4850,levee,1159,5,2,1428,5.375,4,4,L1L2,B,L1 Production,0
17,4850,mane,1278,4,1,33,5.406,4,4,L1L2,B,L1 Production,0
17,4850,mirth,455,5,1,426,5.594,3,3,L1L2,B,L1 Production,0
17,4850,ore,3930,3,1,358,4.844,4,4,L1L2,B,L1 Production,1
17,4850,pall,670,4,1,133,3.719,3,3,L1L2,B,L1 Production,1
17,4850,parable,1063,7,3,189,5,2,2,L1L2,B,L1 Production,0
17,4850,porcupine,479,9,3,10,4.906,5,5,L1L2,B,L1 Production,0
17,4850,potassium,1517,9,3,177,5.031,4,4,L1L2,B,L1 Production,1
17,4850,quail,1571,5,1,68,5.719,3,3,L1L2,B,L1 Production,0
17,4850,ravine,1296,6,2,473,5.219,4,4,L1L2,B,L1 Production,0
17,4850,rectum ,327,6,2,319,5,4,6,L1L2,B,L1 Production,0
17,4850,scowl,1020,5,1,36,5.406,6,6,L1L2,B,L1 Production,0
17,4850,sentry,628,6,2,654,5.906,3,5,L1L2,B,L1 Production,0
17,4850,toupee,200,6,2,440,6.375,3,3,L1L2,B,L1 Production,1
17,4850,weasel,876,6,2,170,5.75,3,3,L1L2,B,L1 Production,0
28,5430,alcove ,932,6,2,178,5.531,4,4,L2L1,B,L1 Production,0
28,5430,badger,818,6,2,6,3.938,4,4,L2L1,B,L1 Production,1
28,5430,diaphragm ,872,9,3,25,4.406,6,6,L2L1,B,L1 Production,1
28,5430,kiln,615,4,1,5109,4.812,1,1,L2L1,B,L1 Production,0
28,5430,levee,1159,5,2,1428,5.375,4,4,L2L1,B,L1 Production,1
28,5430,mane,1278,4,1,33,5.406,4,4,L2L1,B,L1 Production,1
28,5430,mirth,455,5,1,426,5.594,3,3,L2L1,B,L1 Production,1
28,5430,ore,3930,3,1,358,4.844,4,4,L2L1,B,L1 Production,1
28,5430,pall,670,4,1,133,3.719,3,3,L2L1,B,L1 Production,1
28,5430,parable,1063,7,3,189,5,2,2,L2L1,B,L1 Production,1
28,5430,porcupine,479,9,3,10,4.906,5,5,L2L1,B,L1 Production,1
28,5430,quail,1571,5,1,68,5.719,3,3,L2L1,B,L1 Production,0
28,5430,ravine,1296,6,2,473,5.219,4,4,L2L1,B,L1 Production,1
28,5430,rectum ,327,6,2,319,5,4,6,L2L1,B,L1 Production,0
28,5430,scowl,1020,5,1,36,5.406,6,6,L2L1,B,L1 Production,0
28,5430,toupee,200,6,2,440,6.375,3,3,L2L1,B,L1 Production,1
28,5430,weasel,876,6,2,170,5.75,3,3,L2L1,B,L1 Production,1
28,5430,azalea,450,6,3,230,5.812,3,3,L1L2,A,L1 Production,1
28,5430,berth ,1851,5,1,245,5.531,4,4,L1L2,A,L1 Production,1
28,5430,billow,231,6,2,362,5.156,4,4,L1L2,A,L1 Production,1
28,5430,bluff,2695,5,1,168,5.281,4,4,L1L2,A,L1 Production,1
28,5430,camphor,151,7,2,162,3.938,4,4,L1L2,A,L1 Production,1
28,5430,cistern,281,7,3,1206,5.406,4,4,L1L2,A,L1 Production,0
28,5430,citadel,1310,7,3,276,4.156,3,3,L1L2,A,L1 Production,0
28,5430,fracas,257,6,2,2090,5.656,3,3,L1L2,A,L1 Production,0
28,5430,fuselage,800,8,3,843,5.312,4,4,L1L2,A,L1 Production,0
28,5430,insurgent,1485,9,3,321,4.219,3,3,L1L2,A,L1 Production,1
28,5430,loach,51,5,1,274,6,3,4,L1L2,A,L1 Production,0
28,5430,otter,943,5,2,177,5.438,4,4,L1L2,A,L1 Production,1
28,5430,pail,809,4,1,639,6.219,3,3,L1L2,A,L1 Production,1
28,5430,plateau,2598,7,2,1204,5.875,4,4,L1L2,A,L1 Production,1
28,5430,plumage ,469,7,2,1233,5.969,2,2,L1L2,A,L1 Production,0
28,5430,rudder,700,6,2,259,4.375,2,2,L1L2,A,L1 Production,1
28,5430,shoal,361,5,1,246,4.812,3,3,L1L2,A,L1 Production,1
28,5430,strait ,2184,6,1,912,5.469,4,5,L1L2,A,L1 Production,0
28,5430,tuberculosis,2884,12,5,1745,5.531,4,4,L1L2,A,L1 Production,1
28,5430,tympanum,59,8,3,189,5.312,3,3,L1L2,A,L1 Production,1
8,4806,alcove ,932,6,2,178,5.531,4,4,L2L1,B,L1 Production,0
8,4806,badger,818,6,2,6,3.938,4,4,L2L1,B,L1 Production,0
8,4806,estuary,738,7,2,863,5.344,3,3,L2L1,B,L1 Production,0
8,4806,kiln,615,4,1,5109,4.812,1,1,L2L1,B,L1 Production,0
8,4806,levee,1159,5,2,1428,5.375,4,4,L2L1,B,L1 Production,0
8,4806,mane,1278,4,1,33,5.406,4,4,L2L1,B,L1 Production,0
8,4806,mirth,455,5,1,426,5.594,3,3,L2L1,B,L1 Production,0
8,4806,ore,3930,3,1,358,4.844,4,4,L2L1,B,L1 Production,1
8,4806,pall,670,4,1,133,3.719,3,3,L2L1,B,L1 Production,0
8,4806,parable,1063,7,3,189,5,2,2,L2L1,B,L1 Production,1
8,4806,porcupine,479,9,3,10,4.906,5,5,L2L1,B,L1 Production,0
8,4806,quail,1571,5,1,68,5.719,3,3,L2L1,B,L1 Production,1
8,4806,ravine,1296,6,2,473,5.219,4,4,L2L1,B,L1 Production,0
8,4806,rectum ,327,6,2,319,5,4,6,L2L1,B,L1 Production,0
8,4806,scowl,1020,5,1,36,5.406,6,6,L2L1,B,L1 Production,1
8,4806,sentry,628,6,2,654,5.906,3,5,L2L1,B,L1 Production,0
8,4806,toupee,200,6,2,440,6.375,3,3,L2L1,B,L1 Production,0
8,4806,weasel,876,6,2,170,5.75,3,3,L2L1,B,L1 Production,0
8,4806,azalea,450,6,3,230,5.812,3,3,L1L2,A,L1 Production,0
8,4806,berth ,1851,5,1,245,5.531,4,4,L1L2,A,L1 Production,0
8,4806,billow,231,6,2,362,5.156,4,4,L1L2,A,L1 Production,0
8,4806,bluff,2695,5,1,168,5.281,4,4,L1L2,A,L1 Production,0
8,4806,camphor,151,7,2,162,3.938,4,4,L1L2,A,L1 Production,0
8,4806,cistern,281,7,3,1206,5.406,4,4,L1L2,A,L1 Production,0
8,4806,citadel,1310,7,3,276,4.156,3,3,L1L2,A,L1 Production,0
8,4806,fracas,257,6,2,2090,5.656,3,3,L1L2,A,L1 Production,0
8,4806,fuselage,800,8,3,843,5.312,4,4,L1L2,A,L1 Production,0
8,4806,insurgent,1485,9,3,321,4.219,3,3,L1L2,A,L1 Production,0
8,4806,loach,51,5,1,274,6,3,4,L1L2,A,L1 Production,0
8,4806,otter,943,5,2,177,5.438,4,4,L1L2,A,L1 Production,0
8,4806,pail,809,4,1,639,6.219,3,3,L1L2,A,L1 Production,0
8,4806,plateau,2598,7,2,1204,5.875,4,4,L1L2,A,L1 Production,0
8,4806,plumage ,469,7,2,1233,5.969,2,2,L1L2,A,L1 Production,0
8,4806,rudder,700,6,2,259,4.375,2,2,L1L2,A,L1 Production,0
8,4806,shoal,361,5,1,246,4.812,3,3,L1L2,A,L1 Production,0
8,4806,strait ,2184,6,1,912,5.469,4,5,L1L2,A,L1 Production,0
8,4806,tympanum,59,8,3,189,5.312,3,3,L1L2,A,L1 Production,0
10,6050,azalea,450,6,3,230,5.812,3,3,L2L1,A,L1 Production,1
10,6050,berth ,1851,5,1,245,5.531,4,4,L2L1,A,L1 Production,0
10,6050,billow,231,6,2,362,5.156,4,4,L2L1,A,L1 Production,0
10,6050,bluff,2695,5,1,168,5.281,4,4,L2L1,A,L1 Production,0
10,6050,camphor,151,7,2,162,3.938,4,4,L2L1,A,L1 Production,0
10,6050,cistern,281,7,3,1206,5.406,4,4,L2L1,A,L1 Production,0
10,6050,citadel,1310,7,3,276,4.156,3,3,L2L1,A,L1 Production,0
10,6050,fracas,257,6,2,2090,5.656,3,3,L2L1,A,L1 Production,1
10,6050,fuselage,800,8,3,843,5.312,4,4,L2L1,A,L1 Production,0
10,6050,insurgent,1485,9,3,321,4.219,3,3,L2L1,A,L1 Production,0
10,6050,loach,51,5,1,274,6,3,4,L2L1,A,L1 Production,0
10,6050,otter,943,5,2,177,5.438,4,4,L2L1,A,L1 Production,0
10,6050,plateau,2598,7,2,1204,5.875,4,4,L2L1,A,L1 Production,0
10,6050,plumage ,469,7,2,1233,5.969,2,2,L2L1,A,L1 Production,0
10,6050,rudder,700,6,2,259,4.375,2,2,L2L1,A,L1 Production,0
10,6050,shoal,361,5,1,246,4.812,3,3,L2L1,A,L1 Production,1
10,6050,strait ,2184,6,1,912,5.469,4,5,L2L1,A,L1 Production,0
10,6050,tympanum,59,8,3,189,5.312,3,3,L2L1,A,L1 Production,1
10,6050,alcove ,932,6,2,178,5.531,4,4,L1L2,B,L1 Production,0
10,6050,badger,818,6,2,6,3.938,4,4,L1L2,B,L1 Production,1
10,6050,diaphragm ,872,9,3,25,4.406,6,6,L1L2,B,L1 Production,1
10,6050,estuary,738,7,2,863,5.344,3,3,L1L2,B,L1 Production,0
10,6050,kiln,615,4,1,5109,4.812,1,1,L1L2,B,L1 Production,0
10,6050,levee,1159,5,2,1428,5.375,4,4,L1L2,B,L1 Production,0
10,6050,mane,1278,4,1,33,5.406,4,4,L1L2,B,L1 Production,0
10,6050,mirth,455,5,1,426,5.594,3,3,L1L2,B,L1 Production,1
10,6050,ore,3930,3,1,358,4.844,4,4,L1L2,B,L1 Production,0
10,6050,pall,670,4,1,133,3.719,3,3,L1L2,B,L1 Production,0
10,6050,parable,1063,7,3,189,5,2,2,L1L2,B,L1 Production,0
10,6050,porcupine,479,9,3,10,4.906,5,5,L1L2,B,L1 Production,0
10,6050,potassium,1517,9,3,177,5.031,4,4,L1L2,B,L1 Production,1
10,6050,quail,1571,5,1,68,5.719,3,3,L1L2,B,L1 Production,0
10,6050,ravine,1296,6,2,473,5.219,4,4,L1L2,B,L1 Production,0
10,6050,rectum ,327,6,2,319,5,4,6,L1L2,B,L1 Production,0
10,6050,scowl,1020,5,1,36,5.406,6,6,L1L2,B,L1 Production,1
10,6050,sentry,628,6,2,654,5.906,3,5,L1L2,B,L1 Production,0
10,6050,toupee,200,6,2,440,6.375,3,3,L1L2,B,L1 Production,1
10,6050,weasel,876,6,2,170,5.75,3,3,L1L2,B,L1 Production,0
16,5702,azalea,450,6,3,230,5.812,3,3,L2L1,A,L1 Production,0
16,5702,berth ,1851,5,1,245,5.531,4,4,L2L1,A,L1 Production,1
16,5702,billow,231,6,2,362,5.156,4,4,L2L1,A,L1 Production,0
16,5702,bluff,2695,5,1,168,5.281,4,4,L2L1,A,L1 Production,0
16,5702,camphor,151,7,2,162,3.938,4,4,L2L1,A,L1 Production,0
16,5702,cistern,281,7,3,1206,5.406,4,4,L2L1,A,L1 Production,0
16,5702,citadel,1310,7,3,276,4.156,3,3,L2L1,A,L1 Production,0
16,5702,fracas,257,6,2,2090,5.656,3,3,L2L1,A,L1 Production,1
16,5702,fuselage,800,8,3,843,5.312,4,4,L2L1,A,L1 Production,0
16,5702,insurgent,1485,9,3,321,4.219,3,3,L2L1,A,L1 Production,0
16,5702,loach,51,5,1,274,6,3,4,L2L1,A,L1 Production,0
16,5702,otter,943,5,2,177,5.438,4,4,L2L1,A,L1 Production,0
16,5702,pail,809,4,1,639,6.219,3,3,L2L1,A,L1 Production,0
16,5702,plateau,2598,7,2,1204,5.875,4,4,L2L1,A,L1 Production,0
16,5702,plumage ,469,7,2,1233,5.969,2,2,L2L1,A,L1 Production,0
16,5702,rudder,700,6,2,259,4.375,2,2,L2L1,A,L1 Production,0
16,5702,shoal,361,5,1,246,4.812,3,3,L2L1,A,L1 Production,1
16,5702,tuberculosis,2884,12,5,1745,5.531,4,4,L2L1,A,L1 Production,1
16,5702,tympanum,59,8,3,189,5.312,3,3,L2L1,A,L1 Production,1
16,5702,alcove ,932,6,2,178,5.531,4,4,L1L2,B,L1 Production,1
16,5702,badger,818,6,2,6,3.938,4,4,L1L2,B,L1 Production,1
16,5702,diaphragm ,872,9,3,25,4.406,6,6,L1L2,B,L1 Production,1
16,5702,estuary,738,7,2,863,5.344,3,3,L1L2,B,L1 Production,0
16,5702,kiln,615,4,1,5109,4.812,1,1,L1L2,B,L1 Production,0
16,5702,levee,1159,5,2,1428,5.375,4,4,L1L2,B,L1 Production,0
16,5702,mane,1278,4,1,33,5.406,4,4,L1L2,B,L1 Production,0
16,5702,mirth,455,5,1,426,5.594,3,3,L1L2,B,L1 Production,0
16,5702,ore,3930,3,1,358,4.844,4,4,L1L2,B,L1 Production,1
16,5702,pall,670,4,1,133,3.719,3,3,L1L2,B,L1 Production,1
16,5702,parable,1063,7,3,189,5,2,2,L1L2,B,L1 Production,1
16,5702,porcupine,479,9,3,10,4.906,5,5,L1L2,B,L1 Production,0
16,5702,potassium,1517,9,3,177,5.031,4,4,L1L2,B,L1 Production,1
16,5702,quail,1571,5,1,68,5.719,3,3,L1L2,B,L1 Production,1
16,5702,ravine,1296,6,2,473,5.219,4,4,L1L2,B,L1 Production,0
16,5702,rectum ,327,6,2,319,5,4,6,L1L2,B,L1 Production,0
16,5702,scowl,1020,5,1,36,5.406,6,6,L1L2,B,L1 Production,1
16,5702,sentry,628,6,2,654,5.906,3,5,L1L2,B,L1 Production,0
16,5702,toupee,200,6,2,440,6.375,3,3,L1L2,B,L1 Production,1
16,5702,weasel,876,6,2,170,5.75,3,3,L1L2,B,L1 Production,0
5,5419,alcove ,932,6,2,178,5.531,4,4,L2L1,B,L1 Production,0
5,5419,badger,818,6,2,6,3.938,4,4,L2L1,B,L1 Production,1
